order_id,device_id,poll_events_3m_beforeOCT,poll_events_3m_afterOCT,poll_events_1h_beforeOCT,typesOf_status_codes_3m_beforeOCT,typesOf_status_codes_3m_afterOCT,typesOf_status_codes_1h_beforeOCT,typesOf_error_codes_3m_beforeOCT,typesOf_error_codes_3m_afterOCT,typesOf_error_codes_1h_beforeOCT,ok_responses_3m_beforeOCT,ok_responses_3m_afterOCT,ok_responses_1h_beforeOCT,order_creation_time,immed_preceding_polling_event_CT,immed_following_polling_event_CT,most_recent_conn_status,most_recent_conn_status_time
102634986,e86c94a0-0f9c-4dae-8d20-0081d5b5747f,24,24,440,1,1,2,0,0,1,24,24,438,2020-02-26T20:45:52.000+01:00,2020-02-26 10:28:04,2020-02-26 20:46:07,ONLINE,2020-02-26 16:51:12
102639115,b5abcecd-8afe-4fe5-9c4c-a6539308984f,28,22,466,1,1,1,0,0,0,28,22,466,2020-02-26T21:01:41.000+01:00,2020-02-26 00:46:22,2020-02-26 21:01:55,ONLINE,2020-02-26 15:14:16
102639117,7f165816-17f9-43ec-92f3-51cb4c50eb93,72,96,492,2,1,2,1,0,1,60,96,432,2020-02-26T21:02:31.000+01:00,2020-02-26 04:36:13,2020-02-26 21:02:58,ONLINE,2020-02-26 20:50:42
102639272,e7dd9fe8-03e8-41ae-abc7-8a4b0b098971,40,32,376,2,2,2,1,1,1,24,8,312,2020-02-26T21:00:50.000+01:00,2020-02-26 10:28:30,2020-02-26 21:00:55,ONLINE,2020-02-26 15:40:50
102640492,dea02fd8-5394-4568-9179-8ef81c495829,22,22,418,1,1,1,0,0,0,22,22,418,2020-02-26T21:06:30.000+01:00,2020-02-26 10:21:17,2020-02-26 21:06:38,ONLINE,2020-02-26 16:28:04
102642777,a8d153dc-2294-4446-b190-78dd8c306e74,24,22,440,1,1,2,0,0,1,24,22,438,2020-02-26T21:15:41.000+01:00,2020-02-26 00:21:52,2020-02-26 21:15:50,ONLINE,2020-02-26 11:30:12
102643006,1cdc8ef5-3752-4200-8b84-3a1df38b195f,20,22,400,1,1,2,0,0,1,20,22,396,2020-02-26T21:25:20.000+01:00,2020-02-26 00:00:12,2020-02-26 21:25:24,ONLINE,2020-02-26 13:00:16
102643186,36378651-b4ae-4f25-82f1-03bec54e9b1e,44,48,928,1,1,1,0,0,0,44,48,928,2020-02-26T21:17:53.000+01:00,2020-02-26 00:02:53,2020-02-26 21:17:54,ONLINE,2020-02-26 10:42:48
102643878,1cdc8ef5-3752-4200-8b84-3a1df38b195f,22,18,404,1,2,2,0,1,1,22,16,402,2020-02-26T21:20:36.000+01:00,2020-02-26 00:00:12,2020-02-26 21:20:40,ONLINE,2020-02-26 13:00:16
102645210,1cdc8ef5-3752-4200-8b84-3a1df38b195f,20,22,400,1,1,2,0,0,1,20,22,396,2020-02-26T21:28:34.000+01:00,2020-02-26 00:00:12,2020-02-26 21:28:35,ONLINE,2020-02-26 13:00:16
102647214,a8e81a48-afae-41c3-88b1-92dc858fe556,48,48,932,1,1,1,0,0,0,48,48,932,2020-02-26T21:37:57.000+01:00,2020-02-26 09:47:15,2020-02-26 21:38:02,ONLINE,2020-02-26 19:14:12
102647703,055f5c23-c398-4b16-a30f-4b0c2e898926,888,1406,15022,1,1,2,0,0,1,888,1406,14800,2020-02-26T21:40:40.000+01:00,2020-02-26 10:50:27,2020-02-26 21:40:56,ONLINE,2020-02-26 11:07:20
102648284,ecf1fbc3-a93d-455a-87ad-235fc51b3923,24,22,24,1,1,1,0,0,0,24,22,24,2020-02-26T21:44:18.000+01:00,2020-02-26 00:35:52,2020-02-26 21:44:29,ONLINE,2020-02-26 10:51:24
102648305,b7e8b7f2-2df9-4f76-ace0-ccf5069db701,88,96,1768,1,1,1,0,0,0,88,96,1768,2020-02-26T21:44:28.000+01:00,2020-02-26 08:35:03,2020-02-26 21:44:31,ONLINE,2020-02-26 09:51:25
102648796,e7dd9fe8-03e8-41ae-abc7-8a4b0b098971,64,56,1112,1,2,2,0,1,1,64,48,944,2020-02-26T21:47:15.000+01:00,2020-02-26 10:28:30,2020-02-26 21:47:26,ONLINE,2020-02-26 15:40:50
102649970,055f5c23-c398-4b16-a30f-4b0c2e898926,1628,1480,19166,1,1,2,0,0,1,1628,1480,19018,2020-02-26T21:54:45.000+01:00,2020-02-26 10:50:27,2020-02-26 21:54:49,ONLINE,2020-02-26 11:07:20
102650131,f4a61767-a1a3-4b81-9994-28fdaf379498,72,72,804,1,1,1,0,0,0,72,72,804,2020-02-26T21:57:07.000+01:00,2020-02-26 00:00:03,2020-02-26 21:57:15,ONLINE,2020-02-26 11:20:51
102650468,82fb1d95-c894-4499-825e-8774d0247087,48,44,432,1,1,1,0,0,0,48,44,432,2020-02-26T21:57:47.000+01:00,2020-02-26 10:13:36,2020-02-26 21:58:01,ONLINE,2020-02-26 09:29:17
102650885,055f5c23-c398-4b16-a30f-4b0c2e898926,1628,1480,20498,1,2,2,0,1,1,1628,1406,20350,2020-02-26T22:00:23.000+01:00,2020-02-26 10:50:27,2020-02-26 22:00:26,ONLINE,2020-02-26 11:07:20
102651201,1cdc8ef5-3752-4200-8b84-3a1df38b195f,22,20,406,1,1,2,0,0,1,22,20,404,2020-02-26T22:02:24.000+01:00,2020-02-26 00:00:12,2020-02-26 22:02:34,ONLINE,2020-02-26 13:00:16
102651917,1cdc8ef5-3752-4200-8b84-3a1df38b195f,20,22,410,1,1,2,0,0,1,20,22,408,2020-02-26T22:08:31.000+01:00,2020-02-26 00:00:12,2020-02-26 22:08:47,ONLINE,2020-02-26 13:00:16
102651947,a8d153dc-2294-4446-b190-78dd8c306e74,24,24,458,1,1,1,0,0,0,24,24,458,2020-02-26T22:09:25.000+01:00,2020-02-26 00:21:52,2020-02-26 22:09:41,ONLINE,2020-02-26 11:30:12
102651965,14a568f2-88a9-4ddc-a082-01a9cc2838e6,48,44,768,1,1,2,0,0,1,48,44,764,2020-02-26T22:15:42.000+01:00,2020-02-26 10:14:51,2020-02-26 22:15:55,ONLINE,2020-02-26 21:53:12
102652137,f4a61767-a1a3-4b81-9994-28fdaf379498,72,66,810,1,1,1,0,0,0,72,66,810,2020-02-26T22:10:18.000+01:00,2020-02-26 00:00:03,2020-02-26 22:10:32,ONLINE,2020-02-26 11:20:51
102652681,4a771d87-1cc3-4531-a671-9a2ae14628f0,88,88,1744,1,1,1,0,0,0,88,88,1744,2020-02-26T22:18:42.000+01:00,2020-02-26 00:00:09,2020-02-26 22:18:50,ONLINE,2020-02-26 03:17:43
102653472,a8d153dc-2294-4446-b190-78dd8c306e74,24,24,460,1,1,1,0,0,0,24,24,460,2020-02-26T22:23:59.000+01:00,2020-02-26 00:21:52,2020-02-26 22:24:10,ONLINE,2020-02-26 11:30:12
102654976,4a771d87-1cc3-4531-a671-9a2ae14628f0,88,88,1752,1,1,1,0,0,0,88,88,1752,2020-02-26T22:39:07.000+01:00,2020-02-26 00:00:09,2020-02-26 22:39:21,ONLINE,2020-02-26 03:17:43
102655255,055f5c23-c398-4b16-a30f-4b0c2e898926,1776,1480,26418,1,1,2,0,0,2,1776,1480,26048,2020-02-26T22:33:12.000+01:00,2020-02-26 10:50:27,2020-02-26 22:33:26,ONLINE,2020-02-26 11:07:20
102656310,1cdc8ef5-3752-4200-8b84-3a1df38b195f,22,12,380,1,2,2,0,1,1,22,8,370,2020-02-26T22:43:16.000+01:00,2020-02-26 00:00:12,2020-02-26 22:43:50,ONLINE,2020-02-26 13:00:16
102657319,4a771d87-1cc3-4531-a671-9a2ae14628f0,80,96,1744,1,1,1,0,0,0,80,96,1744,2020-02-26T22:51:01.000+01:00,2020-02-26 00:00:09,2020-02-26 22:51:02,ONLINE,2020-02-26 03:17:43
102660155,1975546c-54b1-4a36-8b4b-3a194862a38d,144,132,2700,1,1,1,0,0,0,144,132,2700,2020-02-26T23:15:47.000+01:00,2020-02-26 00:00:02,2020-02-26 23:15:59,ONLINE,2020-02-26 02:57:52
102660717,ca4c302b-ab0d-4fbe-9941-9fda0668ddef,22,16,198,1,1,2,0,0,1,22,16,196,2020-02-26T23:22:21.000+01:00,2020-02-26 02:56:07,2020-02-26 23:22:22,ONLINE,2020-02-26 20:26:33
