order_id,device_id,poll_events_3m_beforeOCT,poll_events_3m_afterOCT,poll_events_1h_beforeOCT,typesOf_status_codes_3m_beforeOCT,typesOf_status_codes_3m_afterOCT,typesOf_status_codes_1h_beforeOCT,typesOf_error_codes_3m_beforeOCT,typesOf_error_codes_3m_afterOCT,typesOf_error_codes_1h_beforeOCT,ok_responses_3m_beforeOCT,ok_responses_3m_afterOCT,ok_responses_1h_beforeOCT,order_creation_time,immed_preceding_polling_event_CT,immed_following_polling_event_CT,most_recent_conn_status,most_recent_conn_status_time
102538514,75f4361b-fdf3-40f9-a9f0-358e5a04951f,264,242,5038,1,1,2,0,0,1,264,242,4994,2020-02-26T14:47:42.000+01:00,2020-02-26 11:11:36,2020-02-26 14:47:50,ONLINE,2020-02-26 11:49:11
102540914,4a771d87-1cc3-4531-a671-9a2ae14628f0,80,88,1784,1,1,1,0,0,0,80,88,1784,2020-02-26T15:01:09.000+01:00,2020-02-26 00:00:09,2020-02-26 15:01:16,ONLINE,2020-02-26 03:17:43
102543864,ea6991c2-0bb6-42f9-9ebf-81309e17f2d9,352,352,4624,1,1,1,0,0,0,352,352,4624,2020-02-26T15:16:31.000+01:00,2020-02-26 11:02:30,2020-02-26 15:16:41,ONLINE,2020-02-26 11:38:44
102546627,4a771d87-1cc3-4531-a671-9a2ae14628f0,88,88,1760,1,1,1,0,0,0,88,88,1760,2020-02-26T15:30:53.000+01:00,2020-02-26 00:00:09,2020-02-26 15:31:08,ONLINE,2020-02-26 03:17:43
102551214,b5abcecd-8afe-4fe5-9c4c-a6539308984f,24,24,462,1,1,1,0,0,0,24,24,462,2020-02-26T15:54:05.000+01:00,2020-02-26 00:46:22,2020-02-26 15:54:15,ONLINE,2020-02-26 15:14:16
102552810,82fb1d95-c894-4499-825e-8774d0247087,44,44,800,1,1,1,0,0,0,44,44,800,2020-02-26T16:02:53.000+01:00,2020-02-26 10:13:36,2020-02-26 16:03:03,ONLINE,2020-02-26 09:29:17
102556244,e7dd9fe8-03e8-41ae-abc7-8a4b0b098971,72,64,1192,1,2,2,0,1,1,72,56,1112,2020-02-26T16:19:07.000+01:00,2020-02-26 10:28:30,2020-02-26 16:19:12,ONLINE,2020-02-26 15:40:50
102556896,36378651-b4ae-4f25-82f1-03bec54e9b1e,36,8,904,1,1,1,0,0,0,36,8,904,2020-02-26T16:22:12.000+01:00,2020-02-26 00:02:53,2020-02-26 16:22:15,ONLINE,2020-02-26 10:42:48
102557507,4a771d87-1cc3-4531-a671-9a2ae14628f0,88,88,1744,1,1,1,0,0,0,88,88,1744,2020-02-26T16:25:12.000+01:00,2020-02-26 00:00:09,2020-02-26 16:25:17,ONLINE,2020-02-26 03:17:43
102563855,dea02fd8-5394-4568-9179-8ef81c495829,24,22,198,1,1,1,0,0,0,24,22,198,2020-02-26T16:55:28.000+01:00,2020-02-26 10:21:17,2020-02-26 16:55:41,ONLINE,2020-02-26 16:28:04
102567057,75f4361b-fdf3-40f9-a9f0-358e5a04951f,264,264,3278,1,1,2,0,0,2,264,264,3190,2020-02-26T17:11:49.000+01:00,2020-02-26 11:11:36,2020-02-26 17:11:59,ONLINE,2020-02-26 11:49:11
102571685,dea02fd8-5394-4568-9179-8ef81c495829,4,2,434,1,1,1,0,1,0,4,0,434,2020-02-26T17:28:29.000+01:00,2020-02-26 10:21:17,2020-02-26 17:30:58,ONLINE,2020-02-26 16:28:04
102574706,a8d153dc-2294-4446-b190-78dd8c306e74,24,22,456,1,1,1,0,0,0,24,22,456,2020-02-26T17:40:01.000+01:00,2020-02-26 00:21:52,2020-02-26 17:40:06,ONLINE,2020-02-26 11:30:12
102590198,4a771d87-1cc3-4531-a671-9a2ae14628f0,96,80,1744,1,1,1,0,0,0,96,80,1744,2020-02-26T18:34:49.000+01:00,2020-02-26 00:00:09,2020-02-26 18:35:02,ONLINE,2020-02-26 03:17:43
102597121,942dea73-a6c3-4c2c-8ccd-b136be676105,33,30,393,1,1,1,0,0,0,33,30,393,2020-02-26T19:00:47.000+01:00,2020-02-26 09:43:54,2020-02-26 19:00:59,ONLINE,2020-02-26 12:42:28
102599220,05ffc1b2-a1fd-40f7-9dc9-33167dddd361,24,22,422,1,1,2,0,0,1,24,22,420,2020-02-26T19:04:18.000+01:00,2020-02-26 16:20:10,2020-02-26 19:04:32,ONLINE,2020-02-26 18:06:18
102600574,02829daf-1952-4e03-9f45-58dd49a4b4d7,24,22,400,1,1,2,0,0,2,24,22,392,2020-02-26T19:06:52.000+01:00,2020-02-26 10:37:21,2020-02-26 19:07:04,ONLINE,2020-02-26 18:36:09
102602267,36378651-b4ae-4f25-82f1-03bec54e9b1e,44,60,860,1,1,1,0,0,0,44,60,860,2020-02-26T19:12:27.000+01:00,2020-02-26 00:02:53,2020-02-26 19:13:04,ONLINE,2020-02-26 10:42:48
102603390,4a771d87-1cc3-4531-a671-9a2ae14628f0,80,88,1728,1,1,1,0,0,0,80,88,1728,2020-02-26T19:14:34.000+01:00,2020-02-26 00:00:09,2020-02-26 19:14:39,ONLINE,2020-02-26 03:17:43
102605266,35a4057b-e864-45b1-8435-b2bc560195a4,32,16,420,2,1,2,1,0,1,28,16,404,2020-02-26T19:19:41.000+01:00,2020-02-26 00:00:10,2020-02-26 19:21:10,ONLINE,2020-02-26 18:06:43
102613263,36378651-b4ae-4f25-82f1-03bec54e9b1e,48,44,956,1,1,1,0,0,0,48,44,956,2020-02-26T19:41:35.000+01:00,2020-02-26 00:02:53,2020-02-26 19:41:48,ONLINE,2020-02-26 10:42:48
102614265,1cdc8ef5-3752-4200-8b84-3a1df38b195f,16,22,416,2,1,2,1,0,1,14,22,412,2020-02-26T19:53:24.000+01:00,2020-02-26 00:00:12,2020-02-26 19:53:39,ONLINE,2020-02-26 13:00:16
102615318,e86c94a0-0f9c-4dae-8d20-0081d5b5747f,24,22,438,1,1,2,0,0,1,24,22,436,2020-02-26T19:47:13.000+01:00,2020-02-26 10:28:04,2020-02-26 19:47:27,ONLINE,2020-02-26 16:51:12
102616628,82fb1d95-c894-4499-825e-8774d0247087,48,44,780,1,1,1,0,0,0,48,44,780,2020-02-26T19:54:38.000+01:00,2020-02-26 10:13:36,2020-02-26 19:54:51,ONLINE,2020-02-26 09:29:17
102617238,ea6991c2-0bb6-42f9-9ebf-81309e17f2d9,144,192,4496,1,1,2,0,0,1,144,192,4464,2020-02-26T19:53:53.000+01:00,2020-02-26 11:02:30,2020-02-26 19:53:54,ONLINE,2020-02-26 11:38:44
102622839,b5abcecd-8afe-4fe5-9c4c-a6539308984f,22,22,494,1,1,1,0,0,0,22,22,494,2020-02-26T20:08:35.000+01:00,2020-02-26 00:46:22,2020-02-26 20:09:00,ONLINE,2020-02-26 15:14:16
102623694,bd394c60-e6d4-4f3d-956c-6498d1ad3714,22,24,464,1,1,1,0,0,0,22,24,464,2020-02-26T20:10:28.000+01:00,2020-02-26 16:45:52,2020-02-26 20:10:30,ONLINE,2020-02-26 18:37:15
102623924,e7d50744-08f1-4718-bab2-c2a49221a8c9,24,48,712,2,1,2,1,0,1,20,48,680,2020-02-26T20:12:36.000+01:00,2020-02-26 11:00:13,2020-02-26 20:12:40,ONLINE,2020-02-26 10:48:40
102624530,e11ac19f-86ec-494f-b34b-cdc6e7d90d0f,110,120,2360,1,1,2,0,0,1,110,120,2340,2020-02-26T20:12:46.000+01:00,2020-02-26 11:45:21,2020-02-26 20:12:57,ONLINE,2020-02-26 14:48:04
102626747,055f5c23-c398-4b16-a30f-4b0c2e898926,1184,1406,21534,2,2,2,1,1,2,1036,1258,21090,2020-02-26T20:19:26.000+01:00,2020-02-26 10:50:27,2020-02-26 20:19:33,ONLINE,2020-02-26 11:07:20
102629982,e7d50744-08f1-4718-bab2-c2a49221a8c9,48,48,700,1,1,2,0,0,1,48,48,664,2020-02-26T20:29:13.000+01:00,2020-02-26 11:00:13,2020-02-26 20:29:29,ONLINE,2020-02-26 10:48:40
102630375,1cdc8ef5-3752-4200-8b84-3a1df38b195f,22,20,406,1,1,2,0,0,1,22,20,398,2020-02-26T20:31:14.000+01:00,2020-02-26 00:00:12,2020-02-26 20:31:20,ONLINE,2020-02-26 13:00:16
102630877,f4a61767-a1a3-4b81-9994-28fdaf379498,72,72,1386,1,1,1,0,0,0,72,72,1386,2020-02-26T20:33:53.000+01:00,2020-02-26 00:00:03,2020-02-26 20:34:01,ONLINE,2020-02-26 11:20:51
102632000,1cdc8ef5-3752-4200-8b84-3a1df38b195f,20,18,404,1,1,2,0,0,1,20,18,394,2020-02-26T20:37:24.000+01:00,2020-02-26 00:00:12,2020-02-26 20:37:40,ONLINE,2020-02-26 13:00:16
102633841,e7dd9fe8-03e8-41ae-abc7-8a4b0b098971,32,40,32,2,2,2,1,1,1,24,32,24,2020-02-26T20:41:42.000+01:00,2020-02-26 10:28:30,2020-02-26 20:41:48,ONLINE,2020-02-26 15:40:50
102639137,e11ac19f-86ec-494f-b34b-cdc6e7d90d0f,120,110,2470,1,1,1,0,0,0,120,110,2470,2020-02-26T21:00:18.000+01:00,2020-02-26 11:45:21,2020-02-26 21:00:30,ONLINE,2020-02-26 14:48:04
102639674,b5abcecd-8afe-4fe5-9c4c-a6539308984f,26,22,468,1,1,1,0,0,0,26,22,468,2020-02-26T21:07:02.000+01:00,2020-02-26 00:46:22,2020-02-26 21:07:15,ONLINE,2020-02-26 15:14:16
102640788,4a771d87-1cc3-4531-a671-9a2ae14628f0,88,88,1736,1,1,1,0,0,0,88,88,1736,2020-02-26T21:07:53.000+01:00,2020-02-26 00:00:09,2020-02-26 21:07:56,ONLINE,2020-02-26 03:17:43
102643781,a8d153dc-2294-4446-b190-78dd8c306e74,24,24,448,1,1,1,0,0,0,24,24,448,2020-02-26T21:20:31.000+01:00,2020-02-26 00:21:52,2020-02-26 21:20:37,ONLINE,2020-02-26 11:30:12
102646996,1fd7aa1c-06c2-4dd7-bc01-4de03a7694cc,64,96,1464,1,1,1,0,0,0,64,96,1464,2020-02-26T21:36:32.000+01:00,2020-02-26 12:03:16,2020-02-26 21:36:36,ONLINE,2020-02-26 12:07:47
102647890,a8d153dc-2294-4446-b190-78dd8c306e74,24,22,448,1,1,1,0,0,0,24,22,448,2020-02-26T21:41:46.000+01:00,2020-02-26 00:21:52,2020-02-26 21:42:01,ONLINE,2020-02-26 11:30:12
102647933,e7dd9fe8-03e8-41ae-abc7-8a4b0b098971,80,40,1088,1,2,2,0,1,1,80,32,904,2020-02-26T21:42:21.000+01:00,2020-02-26 10:28:30,2020-02-26 21:42:52,ONLINE,2020-02-26 15:40:50
102648039,4a771d87-1cc3-4531-a671-9a2ae14628f0,88,88,1736,1,1,1,0,0,0,88,88,1736,2020-02-26T21:42:47.000+01:00,2020-02-26 00:00:09,2020-02-26 21:42:52,ONLINE,2020-02-26 03:17:43
102648814,b7e8b7f2-2df9-4f76-ace0-ccf5069db701,96,88,1768,1,1,1,0,0,0,96,88,1768,2020-02-26T21:47:30.000+01:00,2020-02-26 08:35:03,2020-02-26 21:47:41,ONLINE,2020-02-26 09:51:25
102649369,1fd7aa1c-06c2-4dd7-bc01-4de03a7694cc,96,88,1800,1,1,1,0,0,0,96,88,1800,2020-02-26T21:50:54.000+01:00,2020-02-26 12:03:16,2020-02-26 21:51:05,ONLINE,2020-02-26 12:07:47
102649448,a8d153dc-2294-4446-b190-78dd8c306e74,24,22,456,1,1,1,0,0,0,24,22,456,2020-02-26T21:51:59.000+01:00,2020-02-26 00:21:52,2020-02-26 21:52:10,ONLINE,2020-02-26 11:30:12
102651214,a8d153dc-2294-4446-b190-78dd8c306e74,20,24,458,1,1,1,0,0,0,20,24,458,2020-02-26T22:02:40.000+01:00,2020-02-26 00:21:52,2020-02-26 22:02:43,ONLINE,2020-02-26 11:30:12
102652407,a8d153dc-2294-4446-b190-78dd8c306e74,24,22,458,1,1,1,0,0,0,24,22,458,2020-02-26T22:12:54.000+01:00,2020-02-26 00:21:52,2020-02-26 22:13:03,ONLINE,2020-02-26 11:30:12
102652431,e7dd9fe8-03e8-41ae-abc7-8a4b0b098971,40,16,816,2,2,2,1,1,1,32,8,704,2020-02-26T22:11:48.000+01:00,2020-02-26 10:28:30,2020-02-26 22:12:57,ONLINE,2020-02-26 15:40:50
102653823,e11ac19f-86ec-494f-b34b-cdc6e7d90d0f,120,110,2160,1,1,2,0,0,1,120,110,2140,2020-02-26T22:22:07.000+01:00,2020-02-26 11:45:21,2020-02-26 22:22:19,ONLINE,2020-02-26 14:48:04
