order_id,device_id,poll_events_3m_beforeOCT,poll_events_3m_afterOCT,poll_events_1h_beforeOCT,typesOf_status_codes_3m_beforeOCT,typesOf_status_codes_3m_afterOCT,typesOf_status_codes_1h_beforeOCT,typesOf_error_codes_3m_beforeOCT,typesOf_error_codes_3m_afterOCT,typesOf_error_codes_1h_beforeOCT,ok_responses_3m_beforeOCT,ok_responses_3m_afterOCT,ok_responses_1h_beforeOCT,order_creation_time,immed_preceding_polling_event_CT,immed_following_polling_event_CT,most_recent_conn_status,most_recent_conn_status_time
102463944,d0bc996f-72d2-4ec2-8f40-d82d81120862,66,66,1662,1,1,2,0,0,1,66,66,1638,2020-02-26T01:32:28.000+01:00,2020-02-26 00:00:02,2020-02-26 01:32:44,ONLINE,2020-02-26 00:44:18
102500685,a8d153dc-2294-4446-b190-78dd8c306e74,4,14,288,2,2,2,1,1,1,2,12,284,2020-02-26T11:31:02.000+01:00,2020-02-26 00:21:52,2020-02-26 11:31:34,ONLINE,2020-02-26 11:30:12
102502819,a8d153dc-2294-4446-b190-78dd8c306e74,12,12,312,2,2,2,1,1,1,8,10,296,2020-02-26T11:47:30.000+01:00,2020-02-26 00:21:52,2020-02-26 11:47:37,ONLINE,2020-02-26 11:30:12
102507029,75f4361b-fdf3-40f9-a9f0-358e5a04951f,264,264,4642,1,1,2,0,0,1,264,264,4620,2020-02-26T12:06:37.000+01:00,2020-02-26 11:11:36,2020-02-26 12:06:44,ONLINE,2020-02-26 11:49:11
102509829,82fb1d95-c894-4499-825e-8774d0247087,48,48,904,1,1,1,0,0,0,48,48,904,2020-02-26T12:25:11.000+01:00,2020-02-26 10:13:36,2020-02-26 12:25:18,ONLINE,2020-02-26 09:29:17
102509891,a8d153dc-2294-4446-b190-78dd8c306e74,24,22,274,1,1,2,0,0,1,24,22,248,2020-02-26T12:22:53.000+01:00,2020-02-26 00:21:52,2020-02-26 12:23:06,ONLINE,2020-02-26 11:30:12
102513465,4a771d87-1cc3-4531-a671-9a2ae14628f0,88,88,1768,1,1,1,0,0,0,88,88,1768,2020-02-26T12:39:54.000+01:00,2020-02-26 00:00:09,2020-02-26 12:40:04,ONLINE,2020-02-26 03:17:43
102513708,82fb1d95-c894-4499-825e-8774d0247087,48,44,912,1,1,1,0,0,0,48,44,912,2020-02-26T12:40:49.000+01:00,2020-02-26 10:13:36,2020-02-26 12:40:59,ONLINE,2020-02-26 09:29:17
102516997,a8d153dc-2294-4446-b190-78dd8c306e74,6,8,332,2,2,2,1,1,1,4,6,310,2020-02-26T12:56:59.000+01:00,2020-02-26 00:21:52,2020-02-26 12:57:01,ONLINE,2020-02-26 11:30:12
102527955,1cdc8ef5-3752-4200-8b84-3a1df38b195f,18,20,434,1,1,2,0,0,1,18,20,432,2020-02-26T13:53:45.000+01:00,2020-02-26 00:00:12,2020-02-26 13:54:04,ONLINE,2020-02-26 13:00:16
102532049,1cdc8ef5-3752-4200-8b84-3a1df38b195f,22,22,432,1,1,1,0,0,0,22,22,432,2020-02-26T14:13:54.000+01:00,2020-02-26 00:00:12,2020-02-26 14:14:03,ONLINE,2020-02-26 13:00:16
102535070,82fb1d95-c894-4499-825e-8774d0247087,44,36,888,1,1,2,0,0,1,44,36,880,2020-02-26T14:29:37.000+01:00,2020-02-26 10:13:36,2020-02-26 14:29:50,ONLINE,2020-02-26 09:29:17
102536831,942dea73-a6c3-4c2c-8ccd-b136be676105,3,3,423,1,1,1,0,0,0,3,3,423,2020-02-26T14:45:56.000+01:00,2020-02-26 09:43:54,2020-02-26 14:48:56,ONLINE,2020-02-26 12:42:28
102538960,75f4361b-fdf3-40f9-a9f0-358e5a04951f,242,220,5082,1,1,2,0,0,1,242,220,5060,2020-02-26T14:50:22.000+01:00,2020-02-26 11:11:36,2020-02-26 14:50:26,ONLINE,2020-02-26 11:49:11
102539038,75f4361b-fdf3-40f9-a9f0-358e5a04951f,242,220,5082,1,1,2,0,0,1,242,220,5060,2020-02-26T14:50:38.000+01:00,2020-02-26 11:11:36,2020-02-26 14:51:00,ONLINE,2020-02-26 11:49:11
102540522,ea6991c2-0bb6-42f9-9ebf-81309e17f2d9,192,320,3632,1,1,1,0,0,0,192,320,3632,2020-02-26T14:59:26.000+01:00,2020-02-26 11:02:30,2020-02-26 14:59:40,ONLINE,2020-02-26 11:38:44
102545153,055f5c23-c398-4b16-a30f-4b0c2e898926,888,888,16650,1,1,2,0,0,1,888,888,16576,2020-02-26T15:24:33.000+01:00,2020-02-26 10:50:27,2020-02-26 15:24:49,ONLINE,2020-02-26 11:07:20
102551194,1cdc8ef5-3752-4200-8b84-3a1df38b195f,22,22,426,1,1,1,0,0,0,22,22,426,2020-02-26T15:56:47.000+01:00,2020-02-26 00:00:12,2020-02-26 15:56:58,ONLINE,2020-02-26 13:00:16
102553983,82fb1d95-c894-4499-825e-8774d0247087,44,44,796,1,1,1,0,0,0,44,44,796,2020-02-26T16:08:07.000+01:00,2020-02-26 10:13:36,2020-02-26 16:08:18,ONLINE,2020-02-26 09:29:17
102558587,4a771d87-1cc3-4531-a671-9a2ae14628f0,88,88,1752,1,1,1,0,0,0,88,88,1752,2020-02-26T16:30:17.000+01:00,2020-02-26 00:00:09,2020-02-26 16:30:21,ONLINE,2020-02-26 03:17:43
102559379,a8d153dc-2294-4446-b190-78dd8c306e74,24,24,346,1,1,2,0,0,1,24,24,338,2020-02-26T16:34:04.000+01:00,2020-02-26 00:21:52,2020-02-26 16:34:08,ONLINE,2020-02-26 11:30:12
102567915,4a771d87-1cc3-4531-a671-9a2ae14628f0,88,96,1768,1,1,1,0,0,0,88,96,1768,2020-02-26T17:18:02.000+01:00,2020-02-26 00:00:09,2020-02-26 17:18:05,ONLINE,2020-02-26 03:17:43
102571159,1cdc8ef5-3752-4200-8b84-3a1df38b195f,22,22,410,1,1,2,0,0,1,22,22,406,2020-02-26T17:27:34.000+01:00,2020-02-26 00:00:12,2020-02-26 17:27:45,ONLINE,2020-02-26 13:00:16
102577098,75f4361b-fdf3-40f9-a9f0-358e5a04951f,242,264,4180,1,1,1,0,0,0,242,264,4180,2020-02-26T17:48:51.000+01:00,2020-02-26 11:11:36,2020-02-26 17:48:55,ONLINE,2020-02-26 11:49:11
102585501,82fb1d95-c894-4499-825e-8774d0247087,48,20,916,1,2,1,0,1,0,48,16,916,2020-02-26T18:18:01.000+01:00,2020-02-26 10:13:36,2020-02-26 18:18:10,ONLINE,2020-02-26 09:29:17
102588051,82fb1d95-c894-4499-825e-8774d0247087,44,44,888,1,1,2,0,0,1,44,44,884,2020-02-26T18:26:45.000+01:00,2020-02-26 10:13:36,2020-02-26 18:26:58,ONLINE,2020-02-26 09:29:17
102589214,1cdc8ef5-3752-4200-8b84-3a1df38b195f,22,22,424,1,1,2,0,0,1,22,22,418,2020-02-26T18:32:05.000+01:00,2020-02-26 00:00:12,2020-02-26 18:32:19,ONLINE,2020-02-26 13:00:16
102595015,a8d153dc-2294-4446-b190-78dd8c306e74,24,22,440,1,1,1,0,0,0,24,22,440,2020-02-26T18:49:19.000+01:00,2020-02-26 00:21:52,2020-02-26 18:49:33,ONLINE,2020-02-26 11:30:12
102602502,4dc25416-ba7b-4291-9c5a-f8aa7ebae2c2,48,48,806,1,1,3,0,0,2,48,48,800,2020-02-26T19:15:51.000+01:00,2020-02-26 10:23:09,2020-02-26 19:15:58,ONLINE,2020-02-26 10:09:11
102605840,4a771d87-1cc3-4531-a671-9a2ae14628f0,88,88,1728,1,1,1,0,0,0,88,88,1728,2020-02-26T19:22:40.000+01:00,2020-02-26 00:00:09,2020-02-26 19:22:46,ONLINE,2020-02-26 03:17:43
102616131,02829daf-1952-4e03-9f45-58dd49a4b4d7,22,24,456,1,1,1,0,0,0,22,24,456,2020-02-26T19:49:34.000+01:00,2020-02-26 10:37:21,2020-02-26 19:49:36,ONLINE,2020-02-26 18:36:09
102618816,37038c92-5c1d-4fa8-8416-1c0402eaf002,6,12,666,1,1,2,0,0,1,6,12,654,2020-02-26T19:56:57.000+01:00,2020-02-26 11:28:29,2020-02-26 19:59:32,ONLINE,2020-02-26 19:02:28
102619474,e11ac19f-86ec-494f-b34b-cdc6e7d90d0f,120,220,2170,1,1,2,0,0,1,120,220,2150,2020-02-26T19:58:44.000+01:00,2020-02-26 11:45:21,2020-02-26 19:58:50,ONLINE,2020-02-26 14:48:04
102621126,75f4361b-fdf3-40f9-a9f0-358e5a04951f,242,242,5038,1,1,2,0,0,1,242,242,5016,2020-02-26T20:03:22.000+01:00,2020-02-26 11:11:36,2020-02-26 20:03:44,ONLINE,2020-02-26 11:49:11
102622473,b7e8b7f2-2df9-4f76-ace0-ccf5069db701,96,88,1848,1,1,1,0,0,0,96,88,1848,2020-02-26T20:07:04.000+01:00,2020-02-26 08:35:03,2020-02-26 20:07:19,ONLINE,2020-02-26 09:51:25
102624247,36378651-b4ae-4f25-82f1-03bec54e9b1e,44,44,992,1,1,1,0,0,0,44,44,992,2020-02-26T20:12:16.000+01:00,2020-02-26 00:02:53,2020-02-26 20:12:28,ONLINE,2020-02-26 10:42:48
102625591,e86c94a0-0f9c-4dae-8d20-0081d5b5747f,24,20,446,1,1,1,0,0,0,24,20,446,2020-02-26T20:16:17.000+01:00,2020-02-26 10:28:04,2020-02-26 20:16:31,ONLINE,2020-02-26 16:51:12
102627621,a8d153dc-2294-4446-b190-78dd8c306e74,24,24,368,1,1,2,0,0,1,24,24,358,2020-02-26T20:23:05.000+01:00,2020-02-26 00:21:52,2020-02-26 20:23:15,ONLINE,2020-02-26 11:30:12
102628425,37038c92-5c1d-4fa8-8416-1c0402eaf002,18,66,366,1,1,2,0,0,2,18,66,342,2020-02-26T20:24:16.000+01:00,2020-02-26 11:28:29,2020-02-26 20:24:20,ONLINE,2020-02-26 19:02:28
102632359,e11ac19f-86ec-494f-b34b-cdc6e7d90d0f,120,120,2470,1,1,2,0,0,1,120,120,2460,2020-02-26T20:36:53.000+01:00,2020-02-26 11:45:21,2020-02-26 20:37:02,ONLINE,2020-02-26 14:48:04
102633404,e7d50744-08f1-4718-bab2-c2a49221a8c9,48,36,724,1,2,2,0,1,1,48,32,692,2020-02-26T20:40:40.000+01:00,2020-02-26 11:00:13,2020-02-26 20:40:56,ONLINE,2020-02-26 10:48:40
102633700,1cdc8ef5-3752-4200-8b84-3a1df38b195f,20,18,400,1,1,2,0,0,1,20,18,390,2020-02-26T20:41:15.000+01:00,2020-02-26 00:00:12,2020-02-26 20:41:19,ONLINE,2020-02-26 13:00:16
102635341,1cdc8ef5-3752-4200-8b84-3a1df38b195f,16,14,396,1,1,2,0,0,1,16,14,388,2020-02-26T21:02:28.000+01:00,2020-02-26 00:00:12,2020-02-26 21:03:36,ONLINE,2020-02-26 13:00:16
102637245,e7dd9fe8-03e8-41ae-abc7-8a4b0b098971,80,64,288,1,2,2,0,1,1,80,56,248,2020-02-26T20:55:29.000+01:00,2020-02-26 10:28:30,2020-02-26 20:55:41,ONLINE,2020-02-26 15:40:50
102638604,02829daf-1952-4e03-9f45-58dd49a4b4d7,24,24,468,1,1,1,0,0,0,24,24,468,2020-02-26T20:58:44.000+01:00,2020-02-26 10:37:21,2020-02-26 20:58:52,ONLINE,2020-02-26 18:36:09
102638821,1cdc8ef5-3752-4200-8b84-3a1df38b195f,20,18,396,1,1,2,0,0,1,20,18,388,2020-02-26T20:59:17.000+01:00,2020-02-26 00:00:12,2020-02-26 20:59:20,ONLINE,2020-02-26 13:00:16
102638851,75f4361b-fdf3-40f9-a9f0-358e5a04951f,242,242,5016,1,1,1,0,0,0,242,242,5016,2020-02-26T20:59:23.000+01:00,2020-02-26 11:11:36,2020-02-26 20:59:25,ONLINE,2020-02-26 11:49:11
102639460,b5abcecd-8afe-4fe5-9c4c-a6539308984f,20,28,460,1,1,1,0,0,0,20,28,460,2020-02-26T21:02:47.000+01:00,2020-02-26 00:46:22,2020-02-26 21:02:48,ONLINE,2020-02-26 15:14:16
102639558,1fd7aa1c-06c2-4dd7-bc01-4de03a7694cc,96,88,1400,1,1,2,0,0,1,96,88,1392,2020-02-26T21:02:48.000+01:00,2020-02-26 12:03:16,2020-02-26 21:02:59,ONLINE,2020-02-26 12:07:47
102640618,ca4c302b-ab0d-4fbe-9941-9fda0668ddef,24,24,374,1,1,1,0,0,0,24,24,374,2020-02-26T21:08:54.000+01:00,2020-02-26 02:56:07,2020-02-26 21:08:59,ONLINE,2020-02-26 20:26:33
102643167,37038c92-5c1d-4fa8-8416-1c0402eaf002,54,42,300,1,2,2,0,1,2,54,36,288,2020-02-26T21:18:28.000+01:00,2020-02-26 11:28:29,2020-02-26 21:18:35,ONLINE,2020-02-26 19:02:28
102643825,e11ac19f-86ec-494f-b34b-cdc6e7d90d0f,110,120,2300,1,1,1,0,0,0,110,120,2300,2020-02-26T21:20:25.000+01:00,2020-02-26 11:45:21,2020-02-26 21:20:30,ONLINE,2020-02-26 14:48:04
102643847,4a771d87-1cc3-4531-a671-9a2ae14628f0,88,88,1744,1,1,1,0,0,0,88,88,1744,2020-02-26T21:20:25.000+01:00,2020-02-26 00:00:09,2020-02-26 21:20:35,ONLINE,2020-02-26 03:17:43
102644863,4a771d87-1cc3-4531-a671-9a2ae14628f0,88,88,1744,1,1,1,0,0,0,88,88,1744,2020-02-26T21:26:26.000+01:00,2020-02-26 00:00:09,2020-02-26 21:26:42,ONLINE,2020-02-26 03:17:43
102645770,37038c92-5c1d-4fa8-8416-1c0402eaf002,36,18,354,1,2,2,0,1,2,36,12,336,2020-02-26T21:29:44.000+01:00,2020-02-26 11:28:29,2020-02-26 21:31:57,ONLINE,2020-02-26 19:02:28
102645961,1cdc8ef5-3752-4200-8b84-3a1df38b195f,20,18,398,1,1,2,0,0,1,20,18,394,2020-02-26T21:31:05.000+01:00,2020-02-26 00:00:12,2020-02-26 21:31:15,ONLINE,2020-02-26 13:00:16
102646945,b7e8b7f2-2df9-4f76-ace0-ccf5069db701,96,96,1760,1,1,1,0,0,0,96,96,1760,2020-02-26T21:36:21.000+01:00,2020-02-26 08:35:03,2020-02-26 21:36:30,ONLINE,2020-02-26 09:51:25
102648083,02829daf-1952-4e03-9f45-58dd49a4b4d7,24,24,394,1,1,2,0,0,1,24,24,392,2020-02-26T21:43:21.000+01:00,2020-02-26 10:37:21,2020-02-26 21:43:31,ONLINE,2020-02-26 18:36:09
102648469,4a771d87-1cc3-4531-a671-9a2ae14628f0,88,88,1744,1,1,1,0,0,0,88,88,1744,2020-02-26T21:45:23.000+01:00,2020-02-26 00:00:09,2020-02-26 21:45:32,ONLINE,2020-02-26 03:17:43
102650604,14a568f2-88a9-4ddc-a082-01a9cc2838e6,44,48,760,1,1,2,0,0,1,44,48,756,2020-02-26T21:58:57.000+01:00,2020-02-26 10:14:51,2020-02-26 21:59:05,ONLINE,2020-02-26 21:53:12
102652449,e7dd9fe8-03e8-41ae-abc7-8a4b0b098971,40,16,816,2,2,2,1,1,1,32,8,704,2020-02-26T22:11:52.000+01:00,2020-02-26 10:28:30,2020-02-26 22:12:57,ONLINE,2020-02-26 15:40:50
102655312,055f5c23-c398-4b16-a30f-4b0c2e898926,1628,1628,27158,1,1,2,0,0,2,1628,1628,26788,2020-02-26T22:34:47.000+01:00,2020-02-26 10:50:27,2020-02-26 22:35:02,ONLINE,2020-02-26 11:07:20
102656062,ca4c302b-ab0d-4fbe-9941-9fda0668ddef,14,14,102,1,2,1,0,1,0,14,12,102,2020-02-26T22:40:12.000+01:00,2020-02-26 02:56:07,2020-02-26 22:40:44,ONLINE,2020-02-26 20:26:33
